class,countInstances,timeInSec
http://yago-knowledge.org/resource/Equestrian_facility,1,0
http://yago-knowledge.org/resource/Isotopes_of_nitrogen,1,0
http://yago-knowledge.org/resource/Printed_matter,1,0
http://yago-knowledge.org/resource/Swedish_Masters_International_Badminton_Championships,1,0
http://yago-knowledge.org/resource/Lithuanian_International,1,0
http://yago-knowledge.org/resource/Packhorse_bridge,1,0
http://yago-knowledge.org/resource/Clinical_commissioning_group,1,0
http://yago-knowledge.org/resource/Olive_oil,1,0
http://yago-knowledge.org/resource/Chemical_tanker,1,0
http://yago-knowledge.org/resource/Tunic,1,0
http://yago-knowledge.org/resource/ATP_São_Paulo,1,0
http://yago-knowledge.org/resource/Margrave,1,0
http://yago-knowledge.org/resource/Grandfather_clock,1,0
http://yago-knowledge.org/resource/Edited_volume,1,0
http://yago-knowledge.org/resource/Administrative_divisions_of_France,1,0
http://yago-knowledge.org/resource/Gibberellin,1,0
http://yago-knowledge.org/resource/Classified_advertising,1,0
http://yago-knowledge.org/resource/Cloak,1,0
http://yago-knowledge.org/resource/Mechina,1,0
http://yago-knowledge.org/resource/Giro_di_Sicilia,1,0
http://yago-knowledge.org/resource/Request_for_Comments,1,0
http://yago-knowledge.org/resource/Creative_Commons_license,1,0
http://yago-knowledge.org/resource/Heritage_preservation_in_South_Korea,1,0
http://yago-knowledge.org/resource/Chapter_(religion),1,0
http://yago-knowledge.org/resource/Facsimile,1,0
http://yago-knowledge.org/resource/Linguistic_map,1,0
http://yago-knowledge.org/resource/Esperanto_club,1,0
http://yago-knowledge.org/resource/Wall_box,1,0
http://yago-knowledge.org/resource/Engenho,1,0
http://yago-knowledge.org/resource/Inventory,1,0
http://yago-knowledge.org/resource/Castros_(Spain),1,0
http://yago-knowledge.org/resource/Chaise_longue,1,0
http://yago-knowledge.org/resource/Beaker_(drinkware),1,0
http://yago-knowledge.org/resource/Selsoviet,1,0
http://yago-knowledge.org/resource/Gran_Premio_di_Lugano,1,0
http://yago-knowledge.org/resource/Grand_Slam_Cup,1,0
http://yago-knowledge.org/resource/Handrail,1,0
http://yago-knowledge.org/resource/Studentenwerk,1,0
http://yago-knowledge.org/resource/Smack_(ship),1,0
http://yago-knowledge.org/resource/Texas_Open_(squash),1,0
http://yago-knowledge.org/resource/Cohort_(military_unit),1,0
http://yago-knowledge.org/resource/Visual_novel,1,0
http://yago-knowledge.org/resource/Casting,1,0
http://yago-knowledge.org/resource/Curtain_wall_(fortification),1,0
http://yago-knowledge.org/resource/Liturgical_books_of_the_Roman_Rite,1,0
http://yago-knowledge.org/resource/Nuclear_isomer,1,0
http://yago-knowledge.org/resource/City_map,1,0
http://yago-knowledge.org/resource/Italian_Women's_Volleyball_League,1,0
http://yago-knowledge.org/resource/Compound_(fortification),1,0
http://yago-knowledge.org/resource/Saison,1,0
http://yago-knowledge.org/resource/Dongyue_Temple,1,0
